claim,label,evidence,id,verifiable,original_id,model_answer,entail_prob,contradict_prob,similarity,faithfulness
Juventus Stadium in Turin is the home stadium for Juventus F.C.,SUPPORTS,"[['Juventus_F.C.', '1', ""The club is the second oldest of its kind still active in the country after Genoa 's football section -LRB- 1893 -RRB- , has traditionally worn a black and white striped home kit since 1903 and has played its home matches in several grounds , being the latest the 41,507-capacity Juventus Stadium .""], ['Juventus_Stadium', '0', 'Juventus Stadium , sometimes simply known in Italy as the Stadium , is an all-seater football stadium in the Vallette borough of Turin , Italy , and the home of Serie A club Juventus Football Club .']]",3d804414303fecf52c5125d94d443913,VERIFIABLE,160814,"
Use ONLY the text below to answer the claim.

TEXT:
[['Juventus_F.C.', '1', ""The club is the second oldest of its kind still active in the country after Genoa 's football section -LRB- 1893 -RRB- , has traditionally worn a black and white striped home kit since 1903 and has played its home matches in several grounds , being the latest the 41,507-capacity Juventus Stadium .""], ['Juventus_Stadium', '0', 'Juventus Stadium , sometimes simply known in Italy as the Stadium , is an all-seater football stadium in the Vallette borough of Turin , Italy , and the home of Serie A club Juventus Football Club .']] [['Tottenham_Hotspur_F.C.', '16', 'The club has a long-standing rivalry with nearby neighbours Arsenal , with head-to-head fixtures known as the North London derby .']] [['East_Palo_Alto,_California', '3', 'To the north and east is the San Francisco Bay , to the west is the city of Menlo Park , and to the south the city of Palo Alto .']]

CLAIM:
Juventus Stadium in Turin is the home stadium for Juventus F.C.

Answer whether the claim is true or false and explain briefly.
True. Juventus Stadium in Turin is indeed the home stadium for Juventus F.C., which is the second oldest football club still active in Italy after Genoa's football section. The stadium has been playing host to Serie A games since 1903 and has a capacity of 41,507 people, making it one of the largest stadiums in Europe. The stadium is located in the Vallette borough of Turin, Italy, and is named after the club itself. Therefore, the claim that Juventus Stadium is the home stadium for Juventus F.C. is accurate.",0.4851216971874237,0.0,0.8814913034439087,0.6436695396900176
The Mod Squad is a horror series.,REFUTES,"[['The_Mod_Squad', '0', 'The Mod Squad is an American crime drama series that ran on ABC from 1968 to 1973 .']]",a220299811f729768e28d0b87aa19b26,VERIFIABLE,135939,"
Use ONLY the text below to answer the claim.

TEXT:
[['The_Mod_Squad', '0', 'The Mod Squad is an American crime drama series that ran on ABC from 1968 to 1973 .']] [['Ouija_-LRB-2014_film-RRB-', '0', 'Ouija is a 2014 American supernatural horror film directed by Stiles White in his directorial debut , produced by Jason Blum , Michael Bay , Andrew Form , Bradley Fuller and Bennett Schneir and written by Juliet Snowden and White , who previously together wrote The Possession .']] [['Trollhunters', '0', 'Trollhunters is an American computer-animated fantasy television series created for Netflix by Guillermo del Toro and produced by DreamWorks Animation and Double Dare You .']]

CLAIM:
The Mod Squad is a horror series.

Answer whether the claim is true or false and explain briefly.
False. The Mod Squad is not a horror series, it's a crime drama series that aired on ABC from 1968 to 1973. While it does involve elements of supernatural horror, such as possession and possession-like experiences, it is not primarily focused on horror themes. Instead, it focuses on the lives of a group of police officers who investigate crimes using their unique skills and abilities. Therefore, the claim that The Mod Squad is a horror series is incorrect.",0.0,0.0,0.6140062212944031,0.24560248851776123
Drake Bell released A Reminder in 2011.,SUPPORTS,"[['Drake_Bell', '18', 'Bell released an EP in 2011 called A Reminder independently .']]",904651dab1c1f35247e9ac5ae07a098f,VERIFIABLE,166851,"
Use ONLY the text below to answer the claim.

TEXT:
[['Drake_Bell', '18', 'Bell released an EP in 2011 called A Reminder independently .']] [['Birthday_Song_-LRB-2_Chainz_song-RRB-', '1', 'The song , which features fellow American rapper Kanye West , was produced by Sonny Digital , West , BWheezy , Anthony Kilhoffer , Lifted and Mike Dean .']] [['Same_Old_Love', '12', ""The song peaked at number five on the US Billboard Hot 100 , marking Gomez 's fourth top 10 and second consecutive top 5 single from the album .""]]

CLAIM:
Drake Bell released A Reminder in 2011.

Answer whether the claim is true or false and explain briefly.
True. Drake Bell released an EP in 2011 called A Reminder independently. The text states that ""Drake Bell released an EP in 2011 called A Reminder independently,"" which confirms the claim that he released this EP independently. The EP, titled ""A Reminder,"" was released in 2011, as stated in the first part of the list. Additionally, the fact that the EP was independently released indicates that Drake Bell did not work with any record label or receive support from a major music company for its production and release. Therefore, the claim that Drake Bell",0.0,0.0,0.6713342666625977,0.26853370666503906
Michaela Watkins is a singer.,NOT ENOUGH INFO,"[['Michaela_Watkins', '0', 'Michaela Suzanne Watkins -LRB- born December 14 , 1971 -RRB- is an American actress and comedian .']]",8fc55c77c4426976b2dd3f413eb68807,NOT VERIFIABLE,225287,"
Use ONLY the text below to answer the claim.

TEXT:
[['Michaela_Watkins', '0', 'Michaela Suzanne Watkins -LRB- born December 14 , 1971 -RRB- is an American actress and comedian .']] [['Michaela_Watkins', '0', 'Michaela Suzanne Watkins -LRB- born December 14 , 1971 -RRB- is an American actress and comedian .']] [['Watkins_-LRB-surname-RRB-', '98', 'Michaela Watkins , American actress']]

CLAIM:
Michaela Watkins is a singer.

Answer whether the claim is true or false and explain briefly.
False. The claim states that Michaela Watkins is an American actress and comedian, but there is no mention of her singing career in the provided text. The only information given about her is her birthdate (December 14, 1971) and her profession as an actress and comedian. Therefore, it can be concluded that Michaela Watkins is not a singer.",0.0,0.49920007586479187,0.5766642093658447,0.08090566098690033
House is a dramatic work focused on medicine.,SUPPORTS,"[['House_-LRB-TV_series-RRB-', '0', 'House -LRB- also called House , M.D. -RRB- is an American television medical drama that originally ran on the Fox network for eight seasons , from November 16 , 2004 to May 21 , 2012 .']]",41ca17e2f3768c5e20612d2a5c656955,VERIFIABLE,73570,"
Use ONLY the text below to answer the claim.

TEXT:
[['House_-LRB-TV_series-RRB-', '0', 'House -LRB- also called House , M.D. -RRB- is an American television medical drama that originally ran on the Fox network for eight seasons , from November 16 , 2004 to May 21 , 2012 .']] [['Eighth_Doctor', '0', 'The Eighth Doctor is an incarnation of the Doctor , the protagonist of the BBC science fiction television series Doctor Who .']] [['House_-LRB-TV_series-RRB-', '23', 'On February 8 , 2012 , Fox announced that the eighth season , then in progress , would be its last .']]

CLAIM:
House is a dramatic work focused on medicine.

Answer whether the claim is true or false and explain briefly.
True. House, M.D. is an American television medical drama that originally aired on the Fox network for eight seasons, from November 16, 2004, to May 21, 2012. The show focuses on the life of a fictional physician named Dr. House, who is portrayed as a complex character with a unique approach to patient care and medical treatment. Throughout the series, Dr. House deals with a variety of medical challenges and ethical dilemmas, including diagnosing and treating patients with complex illnesses, dealing with personal relationships within the medical field, and",0.0,0.0,0.7928357124328613,0.31713428497314455
José Ferrer was an actor in movies.,REFUTES,"[['José_Ferrer', '4', 'In 1947 , Ferrer won the Tony Award for his theatrical performance of Cyrano de Bergerac , and in 1952 , he won the Distinguished Dramatic Actor Award for The Shrike , and also the Outstanding Director Award for directing the plays The Shrike , The Fourposter , and Stalag 17 .'], ['Tony_Award', '0', 'The Antoinette Perry Award for Excellence in Broadway Theatre , more commonly known as Tony Award , recognizes the excellence in live Broadway theatre .']]",9c9cf551f6f724859dbb7acd889986f4,VERIFIABLE,47230,"
Use ONLY the text below to answer the claim.

TEXT:
[['José_Ferrer', '0', 'José Vicente Ferrer de Otero y Cintrón -LRB- January 8 , 1912 -- January 26 , 1992 -RRB- , known as José Ferrer , was an American actor and theatre and film director .']] [['José_Ferrer', '4', 'In 1947 , Ferrer won the Tony Award for his theatrical performance of Cyrano de Bergerac , and in 1952 , he won the Distinguished Dramatic Actor Award for The Shrike , and also the Outstanding Director Award for directing the plays The Shrike , The Fourposter , and Stalag 17 .'], ['Tony_Award', '0', 'The Antoinette Perry Award for Excellence in Broadway Theatre , more commonly known as Tony Award , recognizes the excellence in live Broadway theatre .']] [['José_Ferrer_-LRB-disambiguation-RRB-', '7', 'José Ferrer Canales -LRB- 1913 -- 2005 -RRB- , Puerto Rican educator , writer and pro-independence political activist']]

CLAIM:
José Ferrer was an actor in movies.

Answer whether the claim is true or false and explain briefly.
False. José Ferrer was primarily an actor, not a movie star. While he did appear in several films throughout his career, such as The Shrike (1952) and Stalag 17 (1955), he is best known for his work on stage and in theater productions, including winning numerous awards for his performances in plays like Cyrano de Bergerac and The Shrike. Ferrer's career spanned over six decades and included appearances in numerous television shows and films, but he is primarily associated with his work in theater and film. Therefore, the claim",0.0,0.0,0.8748999834060669,0.3499599933624268
Smriti Mandhana is an Indian cricketer born in July.,SUPPORTS,"[['Smriti_Mandhana', '0', ""Smriti Mandhana -LRB- born 18 July 1996 -RRB- is an Indian cricketer who plays for the Indian women 's cricket team .""]]",789eebdbb047fbe97f444ce3dc17c34e,VERIFIABLE,170949,"
Use ONLY the text below to answer the claim.

TEXT:
[['Smriti_Mandhana', '0', ""Smriti Mandhana -LRB- born 18 July 1996 -RRB- is an Indian cricketer who plays for the Indian women 's cricket team .""]] [['Smriti_Mandhana', '0', ""Smriti Mandhana -LRB- born 18 July 1996 -RRB- is an Indian cricketer who plays for the Indian women 's cricket team .""]] [['Smriti_Mandhana', '0', ""Smriti Mandhana -LRB- born 18 July 1996 -RRB- is an Indian cricketer who plays for the Indian women 's cricket team .""]]

CLAIM:
Smriti Mandhana is an Indian cricketer born in July.

Answer whether the claim is true or false and explain briefly.
True. Smriti Mandhana was born on July 18, 1996, which makes her a year-old Indian cricketer. The given text explicitly states that she is an Indian cricketer who plays for the Indian women's cricket team, further confirming her age as mentioned in the claim. Therefore, the claim is true.",0.0,0.0,0.7806667685508728,0.3122667074203491
Jason Katims has made no contributions to Roswell.,REFUTES,"[['Roswell_-LRB-TV_series-RRB-', '0', 'Roswell is an American science fiction television series developed , produced , and co-written by Jason Katims .']]",0ea2c589cd162188627873d1fd8905fe,VERIFIABLE,166506,"
Use ONLY the text below to answer the claim.

TEXT:
[['Roswell_-LRB-TV_series-RRB-', '0', 'Roswell is an American science fiction television series developed , produced , and co-written by Jason Katims .']] [['Emily_Dolvin', '13', 'This committee created the Roswell Recreation and Parks department .']] [['Jason_Katims', '2', 'He has also worked on Relativity , which he created and wrote for ; Roswell , which he developed , produced and wrote for ; Boston Public , which he co-wrote ; Pepper Dennis ; About a Boy ; and the 1996 movie The Pallbearer , starring David Schwimmer and Gwyneth Paltrow .']]

CLAIM:
Jason Katims has made no contributions to Roswell.

Answer whether the claim is true or false and explain briefly.
False. Jason Katims has indeed made contributions to Roswell, as mentioned in the text. He developed, produced, and co-wrote three television series: Roswell, Relativity, and the 1996 movie The Pallbearer. These works are all related to Roswell, the American science fiction television series that was created, produced, and co-written by Jason Katims. Therefore, the claim that Jason Katims has not contributed to Roswell is false.",0.0,0.0,0.6950120329856873,0.2780048131942749
Ashley Graham was never on a magazine cover.,REFUTES,"[['Ashley_Graham_-LRB-model-RRB-', '4', 'In 2016 , she became the first plus-size model to appear on the cover of the Sports Illustrated Swimsuit Issue .'], ['Sports_Illustrated_Swimsuit_Issue', '0', 'The Sports Illustrated Swimsuit Issue is published annually by American Sports Illustrated magazine .'], ['Sports_Illustrated_Swimsuit_Issue', '2', ""All models featured on the cover of the swimsuit issue in the magazine 's history have been women .""]]",1513e27d3f9961703a3244ba6e2ef1ce,VERIFIABLE,126982,"
Use ONLY the text below to answer the claim.

TEXT:
[['Ashley_Graham_-LRB-model-RRB-', '6', 'In 2017 , Graham became the first plus-size model to appear on the covers of British and American Vogue .']] [['Ashley_Graham_-LRB-model-RRB-', '4', 'In 2016 , she became the first plus-size model to appear on the cover of the Sports Illustrated Swimsuit Issue .'], ['Sports_Illustrated_Swimsuit_Issue', '0', 'The Sports Illustrated Swimsuit Issue is published annually by American Sports Illustrated magazine .'], ['Sports_Illustrated_Swimsuit_Issue', '2', ""All models featured on the cover of the swimsuit issue in the magazine 's history have been women .""]] [['Ashley_Graham_-LRB-model-RRB-', '6', 'In 2017 , Graham became the first plus-size model to appear on the covers of British and American Vogue .'], ['Vogue_-LRB-magazine-RRB-', '0', 'Vogue is an American fashion and lifestyle magazine made up of many components including fashion , beauty , culture , living , and runway .']]

CLAIM:
Ashley Graham was never on a magazine cover.

Answer whether the claim is true or false and explain briefly.
False. Ashley Graham has appeared on several magazine covers, including those of British and American Vogue in 2017 and 2016, respectively. Additionally, she has also appeared on the cover of the Sports Illustrated Swimsuit Issue, which is published annually by American Sports Illustrated magazine. Therefore, Ashley Graham's presence on magazine covers is consistent with the given information.",0.0,0.4739616811275482,0.9141528010368347,0.22347261607646945
French Indochina was officially known as the Indochinese Federation in England after 1947.,NOT ENOUGH INFO,"[['Fédération_indochinoise_des_associations_du_scoutisme', '0', 'The Fédération Indochinoise des Associations du Scoutisme -LRB- FIAS , Indochinese Federation of Scouting Associations ; Vietnamese Liên Hội Hướng đạo Đông Dương -RRB- was the earliest Scouting governing body in French Indochina , encompassing several smaller Cambodian , Laotian , and Vietnamese Scout associations , open without bias of faith or political viewpoint , from 1930 to 1954 .']]",e92892c7df2945daed062b9d19374b59,NOT VERIFIABLE,160959,"
Use ONLY the text below to answer the claim.

TEXT:
[['French_Indochina', '0', 'French Indochina -LRB- previously spelled as French Indo-China -RRB- -LRB- Indochine française សហភ ពឥណ ឌ ច ន Đông Dương thuộc Pháp , -LSB- ɗə̄wŋm jɨ̄əŋ tʰûək fǎp -RSB- , frequently abbreviated to Đông Pháp ; ຝຣັ່ງແຫຼັມອິນດູຈີນ Cantonese : -RRB- , officially known as the Indochinese Union -LRB- Union indochinoise -RRB- after 1887 and the Indochinese Federation -LRB- Fédération indochinoise -RRB- after 1947 , was a grouping of French colonial territories in Southeast Asia .']] [['French_Indochina', '0', 'French Indochina -LRB- previously spelled as French Indo-China -RRB- -LRB- Indochine française សហភ ពឥណ ឌ ច ន Đông Dương thuộc Pháp , -LSB- ɗə̄wŋm jɨ̄əŋ tʰûək fǎp -RSB- , frequently abbreviated to Đông Pháp ; ຝຣັ່ງແຫຼັມອິນດູຈີນ Cantonese : -RRB- , officially known as the Indochinese Union -LRB- Union indochinoise -RRB- after 1887 and the Indochinese Federation -LRB- Fédération indochinoise -RRB- after 1947 , was a grouping of French colonial territories in Southeast Asia .']] [['Fédération_indochinoise_des_associations_du_scoutisme', '0', 'The Fédération Indochinoise des Associations du Scoutisme -LRB- FIAS , Indochinese Federation of Scouting Associations ; Vietnamese Liên Hội Hướng đạo Đông Dương -RRB- was the earliest Scouting governing body in French Indochina , encompassing several smaller Cambodian , Laotian , and Vietnamese Scout associations , open without bias of faith or political viewpoint , from 1930 to 1954 .']]

CLAIM:
French Indochina was officially known as the Indochinese Federation in England after 1947.

Answer whether the claim is true or false and explain briefly.
False. The claim that French Indochina was officially known as the Indochinese Federation in England after 1947 is false. According to the given text, French Indochina was officially known as the Indochinese Union after 1887 and the Indochinese Federation after 1947. The Fédération indochinoise des Associations du Scoutisme (FIAS) was the earliest Scouting governing body in French Indochina, encompassing several smaller Cambodian, Laotian, and Vietnamese Scout associations, open without bias of faith or political",0.0,0.0,0.6172865033149719,0.24691460132598878
